barcode,Xcoord,Ycoord,Zcoord
cell290,2563.7450980392155,1344.8235294117646,0
cell291,3271.2380952380954,568.6428571428571,0
cell292,3753.453488372093,144.61627906976744,0
cell293,1637.4469525959369,2299.4762979683974,0
cell294,2571.3980582524273,1263.990291262136,0
cell296,1780.0955882352941,2077.176470588235,0
cell297,3128.2688442211056,723.6809045226131,0
cell298,3704.0213675213677,228.43589743589743,0
cell299,1500.1935483870968,2356.3870967741937,0
cell300,2512.2181818181816,1298.8363636363636,0
cell301,3585.6222222222223,272.3259259259259,0
cell302,2548.951612903226,1391.0483870967741,0
cell303,1735.9411764705883,2173.823529411765,0
cell304,3114.5151515151515,787.5454545454545,0
cell305,1397.8846153846155,2498.5384615384614,0
cell306,3196.719676549865,698.3153638814016,0
cell307,2677.214285714286,1193.047619047619,0
cell309,3746.542857142857,88.75238095238095,0
cell310,3319.4514285714286,528.04,0
cell311,2671.036231884058,1253.1159420289855,0
cell312,3306.240740740741,613.074074074074,0
cell313,3259.0825688073396,712.0366972477065,0
cell314,3645.5029585798816,284.61538461538464,0
cell315,2259.469696969697,1649.0454545454545,0
cell316,2514.5207100591715,1373.4319526627219,0
cell317,3384.1307189542486,479.24183006535947,0
cell318,2602.2596153846152,1309.2403846153845,0
cell319,3525.186046511628,456.630021141649,0
cell320,1562.6842105263158,2427.6315789473683,0
cell321,2880.655172413793,1060.5,0
cell323,1604.0,2377.0,0
cell324,2789.1454545454544,1138.6181818181817,0
cell325,1402.5263157894738,2550.1052631578946,0
cell327,1489.0689655172414,2489.344827586207,0
cell328,3038.5775862068967,937.6379310344828,0
cell329,1443.5771812080536,2509.503355704698,0
cell331,3276.271573604061,649.2284263959391,0
cell332,3027.2,869.4666666666667,0
cell333,3389.842105263158,540.3157894736842,0
cell334,3217.09375,810.71875,0
cell335,1836.962962962963,2163.240740740741,0
cell336,3860.75,118.91666666666667,0
cell337,3624.0135135135133,430.84797297297297,0
cell341,3792.530303030303,149.92424242424244,0
cell342,3284.68,754.32,0
cell343,1505.438596491228,2488.7894736842104,0
cell344,1717.91452991453,2326.5299145299145,0
cell345,3545.9655172413795,368.05172413793105,0
cell346,3403.3494623655915,571.3655913978495,0
cell348,1659.5405405405406,2394.2432432432433,0
cell349,3860.3684210526317,139.05263157894737,0
cell350,2755.7838541666665,1235.3020833333333,0
cell351,3719.8478260869565,253.65217391304347,0
cell352,2511.7927927927926,1472.981981981982,0
cell353,3378.2377049180327,686.8770491803278,0
cell354,2547.5882352941176,1435.5294117647059,0
cell355,1420.7956989247311,2621.5913978494623,0
cell356,3187.590643274854,817.187134502924,0
cell357,3114.8314606741574,831.9775280898876,0
